City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
352,Jaumave,MX,84.16,few clouds,23.4167,-99.3833,HOTEL CIENEGA
355,Lata,PT,86.07,clear sky,40.1629,-8.3327,Casa Maquia
359,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
362,Quang Ngai,VN,78.44,overcast clouds,15.1167,108.8,Central Hotel
367,Catarman,PH,76.66,broken clouds,12.4989,124.6377,Pink City Pension Hotel
368,Ponta Delgada,PT,75.51,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
369,Tevaitoa,PF,78.55,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
371,Corpus Christi,US,89.64,broken clouds,27.8006,-97.3964,"Holiday Inn Corpus Christi Downtown Marina, an IHG Hotel"
373,Quimper,FR,77.58,clear sky,48.0,-4.1,Hôtel Oceania Quimper
380,Paptalaya,HN,83.28,overcast clouds,15.5,-84.3167,Hospedaje Ingnika
384,Tambopata,PE,84.09,few clouds,-12.7333,-69.1833,Enashawa Lodge
